distance_to_pipe,current_y,velocity,pipe_y,y_error,action
250,147.5,-3.0,144,12.25,0
240,145.0,-2.5,144,1.0,0
230,143.0,-2.0,144,1.0,0
220,141.5,-1.5,144,6.25,0
210,140.5,-1.0,144,12.25,0
200,140.0,-0.5,144,16.0,0
190,140.0,0.0,144,16.0,0
180,140.5,0.5,144,12.25,0
170,141.5,1.0,144,6.25,0
160,143.0,1.5,144,1.0,0
150,145.0,2.0,144,1.0,0
140,147.5,2.5,144,12.25,0
130,150.5,3.0,144,42.25,0
120,154.0,3.5,144,100.0,0
110,158.0,4.0,144,196.0,0
100,162.5,4.5,144,342.25,0
90,167.5,5.0,144,552.25,0
80,173.0,5.5,144,841.0,0
70,179.0,6.0,144,1225.0,0
60,185.5,6.5,144,1722.25,0
50,192.5,7.0,144,2352.25,0
40,200.0,7.5,144,3136.0,0
30,208.0,8.0,144,4096.0,0
20,216.5,8.5,144,5256.25,0
10,225.5,9.0,144,6642.25,0
0,235.0,9.5,144,8281.0,0
-10,245.0,10.0,144,10201.0,0
-20,255.5,10.5,144,12432.25,0
-30,266.5,11.0,144,15006.25,0
350,200,0,103,9409,0
340,200.5,0.5,103,9506.25,0
330,201.5,1.0,103,9702.25,0
320,203.0,1.5,103,10000.0,0
310,205.0,2.0,103,10404.0,0
300,207.5,2.5,103,10920.25,0
290,210.5,3.0,103,11556.25,0
280,214.0,3.5,103,12321.0,1
270,206.5,-7.5,103,10712.25,0
260,199.5,-7.0,103,9312.25,0
250,193.0,-6.5,103,8100.0,0
240,187.0,-6.0,103,7056.0,0
230,181.5,-5.5,103,6162.25,0
220,176.5,-5.0,103,5402.25,0
210,172.0,-4.5,103,4761.0,0
200,168.0,-4.0,103,4225.0,0
190,164.5,-3.5,103,3782.25,0
180,161.5,-3.0,103,3422.25,0
170,159.0,-2.5,103,3136.0,0
160,157.0,-2.0,103,2916.0,0
150,155.5,-1.5,103,2756.25,0
140,154.5,-1.0,103,2652.25,0
130,154.0,-0.5,103,2601.0,0
120,154.0,0.0,103,2601.0,1
110,146.5,-7.5,103,1892.25,0
100,139.5,-7.0,103,1332.25,0
90,133.0,-6.5,103,900.0,0
80,127.0,-6.0,103,576.0,0
70,121.5,-5.5,103,342.25,0
60,116.5,-5.0,103,182.25,0
50,112.0,-4.5,103,81.0,0
40,108.0,-4.0,103,25.0,0
30,104.5,-3.5,103,2.25,0
20,101.5,-3.0,103,2.25,1
350,200,0,133,4489,0
340,200.5,0.5,133,4556.25,0
330,201.5,1.0,133,4692.25,0
320,203.0,1.5,133,4900.0,0
310,205.0,2.0,133,5184.0,0
300,207.5,2.5,133,5550.25,1
290,200.0,-7.5,133,4489.0,0
280,193.0,-7.0,133,3600.0,0
270,186.5,-6.5,133,2862.25,0
260,180.5,-6.0,133,2256.25,0
250,175.0,-5.5,133,1764.0,1
240,167.5,-7.5,133,1190.25,0
230,160.5,-7.0,133,756.25,1
220,153.0,-7.5,133,400.0,0
210,146.0,-7.0,133,169.0,0
200,139.5,-6.5,133,42.25,0
190,133.5,-6.0,133,0.25,0
180,128.0,-5.5,133,25.0,1
170,120.5,-7.5,133,156.25,0
160,113.5,-7.0,133,380.25,0
150,107.0,-6.5,133,676.0,1
140,99.5,-7.5,133,1122.25,0
130,92.5,-7.0,133,1640.25,0
120,86.0,-6.5,133,2209.0,1
110,78.5,-7.5,133,2970.25,0
100,71.5,-7.0,133,3782.25,0
90,65.0,-6.5,133,4624.0,0
80,59.0,-6.0,133,5476.0,0
70,53.5,-5.5,133,6320.25,0
60,48.5,-5.0,133,7140.25,0
50,44.0,-4.5,133,7921.0,0
40,40.0,-4.0,133,8649.0,0
30,36.5,-3.5,133,9312.25,0
20,33.5,-3.0,133,9900.25,0
350,200,0,109,8281,0
340,200.5,0.5,109,8372.25,0
330,201.5,1.0,109,8556.25,1
320,194.0,-7.5,109,7225.0,0
310,187.0,-7.0,109,6084.0,0
300,180.5,-6.5,109,5112.25,0
290,174.5,-6.0,109,4290.25,0
280,169.0,-5.5,109,3600.0,0
270,164.0,-5.0,109,3025.0,0
260,159.5,-4.5,109,2550.25,1
250,152.0,-7.5,109,1849.0,0
240,145.0,-7.0,109,1296.0,0
230,138.5,-6.5,109,870.25,0
220,132.5,-6.0,109,552.25,0
210,127.0,-5.5,109,324.0,0
200,122.0,-5.0,109,169.0,0
190,117.5,-4.5,109,72.25,0
180,113.5,-4.0,109,20.25,0
170,110.0,-3.5,109,1.0,0
160,107.0,-3.0,109,4.0,0
150,104.5,-2.5,109,20.25,0
140,102.5,-2.0,109,42.25,0
130,101.0,-1.5,109,64.0,0
120,100.0,-1.0,109,81.0,0
110,99.5,-0.5,109,90.25,0
100,99.5,0.0,109,90.25,0
90,100.0,0.5,109,81.0,0
80,101.0,1.0,109,64.0,0
70,102.5,1.5,109,42.25,0
60,104.5,2.0,109,20.25,0
50,107.0,2.5,109,4.0,1
40,99.5,-7.5,109,90.25,0
30,92.5,-7.0,109,272.25,1
20,85.0,-7.5,109,576.0,0
350,200,0,135,4225,0
340,200.5,0.5,135,4290.25,0
330,201.5,1.0,135,4422.25,0
320,203.0,1.5,135,4624.0,0
310,205.0,2.0,135,4900.0,1
300,197.5,-7.5,135,3906.25,0
290,190.5,-7.0,135,3080.25,0
280,184.0,-6.5,135,2401.0,0
270,178.0,-6.0,135,1849.0,0
260,172.5,-5.5,135,1406.25,0
250,167.5,-5.0,135,1056.25,0
240,163.0,-4.5,135,784.0,0
230,159.0,-4.0,135,576.0,0
220,155.5,-3.5,135,420.25,0
210,152.5,-3.0,135,306.25,0
200,150.0,-2.5,135,225.0,0
190,148.0,-2.0,135,169.0,0
180,146.5,-1.5,135,132.25,0
170,145.5,-1.0,135,110.25,0
160,145.0,-0.5,135,100.0,0
150,145.0,0.0,135,100.0,0
140,145.5,0.5,135,110.25,0
130,146.5,1.0,135,132.25,0
120,148.0,1.5,135,169.0,0
110,150.0,2.0,135,225.0,0
100,152.5,2.5,135,306.25,0
90,155.5,3.0,135,420.25,0
80,159.0,3.5,135,576.0,0
70,163.0,4.0,135,784.0,0
60,167.5,4.5,135,1056.25,0
50,172.5,5.0,135,1406.25,0
40,178.0,5.5,135,1849.0,0
30,184.0,6.0,135,2401.0,1
20,176.5,-7.5,135,1722.25,0
10,169.5,-7.0,135,1190.25,1
0,162.0,-7.5,135,729.0,0
-10,155.0,-7.0,135,400.0,0
-20,148.5,-6.5,135,182.25,1
-30,141.0,-7.5,135,36.0,0
350,200,0,123,5929,0
340,200.5,0.5,123,6006.25,0
330,201.5,1.0,123,6162.25,0
320,203.0,1.5,123,6400.0,0
310,205.0,2.0,123,6724.0,0
300,207.5,2.5,123,7140.25,0
290,210.5,3.0,123,7656.25,0
280,214.0,3.5,123,8281.0,0
270,218.0,4.0,123,9025.0,0
260,222.5,4.5,123,9900.25,0
250,227.5,5.0,123,10920.25,0
240,233.0,5.5,123,12100.0,0
230,239.0,6.0,123,13456.0,0
220,245.5,6.5,123,15006.25,0
210,252.5,7.0,123,16770.25,0
200,260.0,7.5,123,18769.0,1
190,252.5,-7.5,123,16770.25,1
180,245.0,-7.5,123,14884.0,0
170,238.0,-7.0,123,13225.0,0
160,231.5,-6.5,123,11772.25,0
