distance_to_pipe,current_y,velocity,pipe_y,y_error,action
300,207.5,2.5,185.0,506.25,0
290,210.5,3.0,185.0,650.25,0
280,214.0,3.5,185.0,841.0,0
270,218.0,4.0,185.0,1089.0,0
260,222.5,4.5,185.0,1406.25,0
250,227.5,5.0,185.0,1806.25,0
240,233.0,5.5,185.0,2304.0,0
230,239.0,6.0,185.0,2916.0,0
220,245.5,6.5,185.0,3660.25,0
210,252.5,7.0,185.0,4556.25,0
200,260.0,7.5,185.0,5625.0,0
190,268.0,8.0,185.0,6889.0,0
180,276.5,8.5,185.0,8372.25,0
170,285.5,9.0,185.0,10050.0,0
160,295.0,9.5,185.0,11000.0,0
150,305.0,10.0,185.0,12000.0,0
140,315.5,10.5,185.0,13050.0,0
130,326.5,11.0,185.0,14150.0,1
120,319.0,-7.5,185.0,13400.0,0
110,312.0,-7.0,185.0,12700.0,0
100,305.5,-6.5,185.0,12050.0,0
90,299.5,-6.0,185.0,11450.0,0
80,294.0,-5.5,185.0,10900.0,0
70,289.0,-5.0,185.0,10400.0,0
60,284.5,-4.5,185.0,9900.25,0
50,280.5,-4.0,185.0,9120.25,0
40,277.0,-3.5,185.0,8464.0,0
30,274.0,-3.0,185.0,7921.0,0
20,271.5,-2.5,185.0,7482.25,0
350,200,0,201.0,1.0,0
340,200.5,0.5,201.0,0.25,1
330,193.0,-7.5,201.0,64.0,0
320,186.0,-7.0,201.0,225.0,0
310,179.5,-6.5,201.0,462.25,0
300,173.5,-6.0,201.0,756.25,0
290,168.0,-5.5,201.0,1089.0,0
280,163.0,-5.0,201.0,1444.0,0
270,158.5,-4.5,201.0,1806.25,0
260,154.5,-4.0,201.0,2162.25,0
250,151.0,-3.5,201.0,2500.0,0
240,148.0,-3.0,201.0,2809.0,0
230,145.5,-2.5,201.0,3080.25,0
220,143.5,-2.0,201.0,3306.25,0
210,142.0,-1.5,201.0,3481.0,0
200,141.0,-1.0,201.0,3600.0,0
190,140.5,-0.5,201.0,3660.25,0
180,140.5,0.0,201.0,3660.25,0
